taxon_name	status	max_ma	min_ma
Microscyliorhinus burnhamensis	extinct	56	47.8
Odontaspis winkleri	extinct	56	47.8
Pachygaleus lefevrei	extinct	56	47.8
Palaeohypotodus rutoti	extinct	56	47.8
Pararhincodon ypresiensis	extinct	56	47.8
Parotodus pavlovi	extinct	56	47.8
Physogaleus secundus	extinct	56	47.8
Premontreia degremonti	extinct	56	47.8
Premontreia gilberti	extinct	56	47.8
Pseudabdounia recticona	extinct	56	47.8
Rhinobatos bruxelliensis	extinct	56	47.8
Rhizoprionodon ganntourensis	extinct	56	47.8
Squatina prima	extinct	56	47.8
Striatolamia macrota	extinct	56	47.8
Sylvestrilamia teretidens	extinct	56	47.8
Araloselachus cuspidatus	extinct	27.82	23.03
Atlantoraja cecilae	extinct	27.82	23.03
Carcharhinus elongatus	extinct	27.82	23.03
Carcharias contortidens	extinct	27.82	23.03
Carcharodon hastalis	extinct	27.82	23.03
Carcharoides catticus	extinct	27.82	23.03
Dasyatis delfortriei	extinct	27.82	23.03
Dipturus casieri	extinct	27.82	23.03
Galeocerdo aduncus	extinct	27.82	23.03
Isurolamna gracilis	extinct	27.82	23.03
Keasius parvus	extinct	27.82	23.03
Notorynchus primigenius	extinct	27.82	23.03
Pachyscyllium braaschi	extinct	27.82	23.03
Pachyscyllium distans	extinct	27.82	23.03
Physogaleus maltzani	extinct	27.82	23.03
Squalus alsaticus	extinct	27.82	23.03
Isurus retroflexus	extinct	11.63	5.333
Araloselachus cuspidatus	extinct	27.82	23.03
Carcharhinus elongatus	extinct	27.82	23.03
Carcharoides catticus	extinct	27.82	23.03
Dasyatis delfortriei	extinct	27.82	23.03
Isurus oxyrinchus	extant	27.82	23.03
Keasius parvus	extinct	27.82	23.03
Notorynchus primigenius	extinct	27.82	23.03
Pachyscyllium distans	extinct	27.82	23.03
Squalus alsaticus	extinct	27.82	23.03
Atlantoraja cecilae	extinct	27.82	23.03
Dasyatis delfortriei	extinct	27.82	23.03
Notorynchus primigenius	extinct	27.82	23.03
Pachyscyllium distans	extinct	27.82	23.03
Squalus alsaticus	extinct	27.82	23.03
Carcharhinus elongatus	extinct	27.82	23.03
Galeocerdo aduncus	extinct	27.82	23.03
Parotodus pavlovi	extinct	47.8	37.71
Striatolamia striata	extinct	47.8	37.71
Otodus obliquus	extinct	47.8	37.71
Hypotodus verticalis	extinct	47.8	37.71
Isurolamna affinis	extinct	47.8	37.71
Macrorhizodus nolfi	extinct	47.8	37.71
Myliobatis raouxi	extinct	47.8	37.71
Parotodus pavlovi	extinct	47.8	37.71
Physogaleus secundus	extinct	47.8	37.71
Trigonotodus tusbairicus	extinct	47.8	37.71
Xiphodolamia ensis	extinct	47.8	37.71
Otodus obliquus	extinct	47.8	37.71
Hexanchus agassizi	extinct	47.8	37.71
Isurolamna affinis	extinct	47.8	37.71
Myliobatis raouxi	extinct	47.8	37.71
Parotodus pavlovi	extinct	47.8	37.71
Physogaleus secundus	extinct	47.8	37.71
Xiphodolamia ensis	extinct	47.8	37.71
Otodus obliquus	extinct	47.8	37.71
Hexanchus agassizi	extinct	47.8	37.71
Isurolamna affinis	extinct	47.8	37.71
Macrorhizodus nolfi	extinct	47.8	37.71
Myliobatis raouxi	extinct	47.8	37.71
Parotodus pavlovi	extinct	47.8	37.71
Xiphodolamia ensis	extinct	47.8	37.71
Otodus aksuaticus	extinct	47.8	37.71
Hypotodus verticalis	extinct	47.8	37.71
Isurolamna affinis	extinct	47.8	37.71
Macrorhizodus nolfi	extinct	47.8	37.71
Myliobatis raouxi	extinct	47.8	37.71
Parotodus pavlovi	extinct	47.8	37.71
Physogaleus secundus	extinct	47.8	37.71
Xiphodolamia ensis	extinct	47.8	37.71
Otodus aksuaticus	extinct	47.8	37.71
Hexanchus agassizi	extinct	47.8	37.71
Macrorhizodus nolfi	extinct	47.8	37.71
Parotodus pavlovi	extinct	47.8	37.71
Physogaleus secundus	extinct	47.8	37.71
Xiphodolamia ensis	extinct	47.8	37.71
Otodus aksuaticus	extinct	47.8	37.71
Parotodus pavlovi	extinct	47.8	37.71
Physogaleus secundus	extinct	47.8	37.71
Xiphodolamia ensis	extinct	47.8	37.71
Otodus auriculatus	extinct	47.8	37.71
Palaeohypotodus rutoti	extinct	37.71	33.9
Pristiophorus lanceolatus	extinct	37.71	33.9
Striatolamia macrota	extinct	37.71	33.9
Striatolamia macrota	extinct	37.71	33.9
Alopias exigua	extinct	33.9	27.82
